,Car Park,Weekdays  before 5/6pm,Weekdays  after 5/6pm,Saturdays,Sundays/Public Holidays
0,22 Bideford Road,7am-4.59pm: $3 for 1st hr; $1.50 for sub. 30min; 11am to 3pm: Peak hour surcharge $1.00 (per entry including hourly rate),5pm-6.59am: $4.50 per entry.,7am-4.59pm: $3 for 1st hr; $1.50 for sub. 30min; 11am to 3pm: Peak hour surcharge $1.00 (per entry including hourly rate),7am-4.59pm: $3 for 1st hr; $1.50 for sub. 30min; 11am to 3pm: Peak hour surcharge $1.00 (per entry including hourly rate)
1,313@Somerset,Monday to Thursday: 7am-7am: $3.05 for 1st hr; $1.31 for sub. 30min,-,Friday to Sunday and Public Holiday: 7am-7am: $3.27 for 1st hr; $1.64 for sub. 30min,Friday to Sunday and Public Holiday: 7am-7am: $3.27 for 1st hr; $1.64 for sub. 30min
2,50 Scotts Road; Singapore 228242,7am-10.59am/2pm- 4.59pm: $2.50 for 1st hr; $1.20 for sub. 30min; 11am -1.59pm: $3.00 for 1st hr; $1.50 for sub. 30min,5pm-6.59am: $3.50 per entry.,$3.50 per entry,$3.50 per entry
3,51 Cuppage Road (Formerly Starhub Centre),7am-7am: $2.80 for 1st hr; $1.20 for sub. 30min or part thereof,7am-7am: $2.80 for 1st hr; $1.20 for sub. 30min or part thereof,7am-7am: $2.80 for 1st hr; $1.20 for sub. 30min or part thereof,7am-7am: $2.80 for 1st hr; $1.20 for sub. 30min or part thereof
4,Angullia Park Off-Street,7am-11am: $1.30/30min (Per Minute Charging); 11am-5pm: $1.50/30min (Per Minute Charging),5pm-10.30pm: $0.80/30min (Per Minute Charging); 10.30pm-7am the following day: capped at $5.60,Same as Weekdays,7am to 11am : $0.70/30min; 11am to 10.30pm: $0.80/30min (Per Minute Charging); 10.30pm-7am the following day: capped at $5.60
5,Cathay Cineleisure Orchard,7am-4.59pm: $2.40 for 1st hr; $1.40 for sub. 30min,5pm-6.59am: $0.04/min,7am-10.59am: $4.80 per entry; 11am-7.59pm: $2.50 per hr; 8pm-6.59am: $0.05/min,7am-10.59am: $4.80 per entry; 11am-7.59pm: $2.50 per hr; 8pm-6.59am: $0.05/min
6,Claymore Connect,7am-6pm: $3.50 for 1st hr or part thereof; $1.50 for sub. 30min,Aft 6pm: $5.50 per entry,7am-6pm: $3.50 for 1st hr or part thereof; $1.50 for sub. 30min,$5.50 per entry
7,ComCentre (Exeter Rd),7am-6pm: $3 for 1st hr; $1.50 for sub. 30min,6pm-11pm: $3.00 per entry; 11pm-7am: $15 per entry,7am-1pm: $3 for 1st hr; $1.50 for sub. 30min; 1pm-11pm: $3 for 1st 2 hr; $1.00 for sub. 30min; 11pm-7am: $15 per entry.,7am-11pm: $3 for 1st 2hr; $1.00 for sub. 30min; 11pm-7am: $15 per entry
8,Concorde Hotel,7am-6pm: $2.14 for 1st hr; $1.39 for sub. 30min,Aft 6pm: $3.75 per entry,7am-6pm: $2.14 for 1st hr; $1.39 for sub. 30min,$3.75 per entry
9,Delfi Orchard,8am-6pm: $3.64 for 1st hr; $2.35 for next sub. 30min,6pm-11pm: $5.35/entry,8am-6pm: $3.64 for 1st hr; $2.35 for next sub. 30min,$5.35 every 4 hrs
10,Elizabeth Hotel,7am-6pm: $4 for 1st hr; $2 for sub. 30min,Aft 6pm: $5 per entry,7am-6pm: $4 for 1st hr; $2 for sub. 30min,$5 per entry
11,Far East Plaza,8am-5pm: $1.80 for 1st hr; $1.50 for sub. 30min,Aft 5pm: $3.50 per entry,8am-5pm: $1.80 for 1st hr; $1.50 for sub. 30min,8am-5pm: $1.80 for 1st hr; $1.50 for sub. 30min
12,Far East Shopping Centre,$3 for 1st hr; $1.50 for sub. 30min or part thereof.,6pm-12am: $3.50 per entry; 12am-8am: $5 per entry.,$3 for 1st hr; $1.50 for sub. 30min or part thereof.,$3 for 1st hr; $1.50 for sub. 30min or part thereof.
13,Forum The Shopping Mall,6am-5pm: $2.60 for 1st hr; $1.30 for sub. 30min or part thereof.,Aft 5pm: $3.50 per entry,6am-5pm: $2.80 for 1st hr; $1.50 for sub. 30min or part thereof; Aft 5pm: $3.50 per entry,6am-5pm: $2.80 for 1st hr; $1.50 for sub. 30min or part thereof; Aft 5pm: $3.50 per entry
14,Four Seasons Hotel,6am-6pm: $6 for 1st hr; $3 for sub. 30min,Aft 6pm: $6 per entry,6am-6pm: $6 for 1st hr; $3 for sub. 30min,6am-6pm: $6 for 1st hr; $3 for sub. 30min
15,Goodwood Park Hotel,8am-6.59pm: $5.05 for 1st hr; $2.53 for sub. 30min,6pm-8am: $6.06/entry,8am-6.59pm: $5.05 for 1st hr; $2.53 for sub. 30min,8am-7.59am: $6.06/entry
16,Grand Hyatt Singapore (Hotel currently closed for reno),4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min,6pm-3.59am: $6/entry,4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min,4am-5.59pm: $4 for 1st hr; $2 for next sub. 30min
17,Grange Road Off-Street,7am-11am: $1.30/30min (Per Minute Charging); 11am-5pm: $1.50/30min (Per Minute Charging),5pm-10.30pm: $0.80/30min (Per Minute Charging); 10.30pm-7am the following day: $0.70/30min (Per Minute Charging) capped at $5.60,Same as Weekdays,7am-11am: $0.70/30min (Per Minute Charging); 11am-10.30pm: $0.80/30min (Per Minute Charging);10.30pm-7am the following day: $0.70/30min (Per Minute Charging) capped at $5.60
18,Hilton Singapore Orchard,7am-7am: $3.80 for 1st hr; $0.07/min sub.,-,7am-7am: $3.80 for 1st hr; $0.07/min sub.,7am-7am: $3.80 for 1st hr; $0.07/min sub.
19,Holiday Inn Express Singapore,7am-7am: $3.00/30min,-,7am-7am: $3.00/30min,7am-7am: $3.00/30min
20,Holiday Inn Singapore Orchard City Centre,12am-2.59pm: $4 per hr; 3pm-11.59pm: $1.20/hr. Capped at $13.90/day,3pm-11.59pm: $1.20 per hr. Capped at $13.90/day,12am-2.59pm: $4/hr; 3pm-11.59pm: $1.20/hr. Capped at $4.90/day,12am-2.59pm: $4/hr; 3pm-11.59pm: $1.20/hr. Capped at $4.90/day
21,International Building,7am-6pm: $3 for 1st hr; $1.50 for sub. 30min or part thereof,6pm-7am: $4 per entry,7am-6pm: $3 for 1st hr; $1.50 for sub. 30min or part thereof,7am-6pm: $3 for 1st hr; $1.50 for sub. 30min or part thereof
22,ION Orchard,Monday to Thursday: 8am-4.59pm: $2.73 for 1st hr; $1.31 for sub. 30min or part thereof,Monday to Thursday: 5pm-11.59pm: $3.05 per entry; 12am-7.59am $1.09 per hr or part thereof,Friday to Sunday and Public Holiday: 8am-5.59pm: $2.62 for 1st hr; $1.91 for sub. 30min or part thereof; 6pm-11.59pm: $3.82 per entry; 12am-7.59am $1.09 per hour or part thereof,Friday to Sunday and Public Holiday: 8am-5.59pm: $2.62 for 1st hr; $1.91 for sub. 30min or part thereof; 6pm-11.59pm: $3.82 per entry; 12am-7.59am $1.09 per hour or part thereof
